Root_ID	Top_in_out_region	Verified_NT_type
720575941403052400	ME.LO	acetylcholine
720575941403066224	ME	acetylcholine
720575941403069808	ME.LOP	acetylcholine
720575941403091056	ME.LOP	acetylcholine
720575941403097968	ME	gaba
720575941403142256	NO_CONS.LO	acetylcholine
720575941403152240	ME.LO	acetylcholine
720575941403195248	ME.LOP	acetylcholine
720575941403201904	ME	acetylcholine
720575941403204976	ME.LO	acetylcholine
720575941403209840	ME	acetylcholine
720575941403213936	ME	acetylcholine
720575941403217776	LO.LOP	acetylcholine
720575941403219824	ME.LOP	acetylcholine
720575941403226224	ME.LOP	acetylcholine
720575941403251568	ME.LO	acetylcholine
720575941403255152	ME	gaba
720575941403315312	LO.LOP	acetylcholine
720575941403317360	ME.LOP	acetylcholine
720575941403318128	ME.LOP	acetylcholine
720575941403362672	SLP.MB_ML	dopamine
720575941403445616	FB.SMP	acetylcholine
720575941403476592	ME	gaba
720575941403486832	ME	glutamate
720575941403495024	ME.LO	acetylcholine
720575941403519856	ME.LOP	acetylcholine
720575941403520368	ME.LOP	acetylcholine
720575941403521648	T1_PRONM	acetylcholine
720575941403522160	ME.LOP	acetylcholine
720575941403537776	ANM	gaba
720575941403553136	ME	glutamate
720575941403564656	ME.LO	glutamate
720575941403565936	LO.LOP	acetylcholine
720575941403578224	ME.LO	acetylcholine
720575941403579248	ME	glutamate
720575941403619440	LO.LOP	acetylcholine
720575941403619696	LO.LOP	acetylcholine
720575941403626864	ME.LOP	acetylcholine
720575941403628400	ME	glutamate
720575941403641968	ME	glutamate
720575941403670128	LO.LOP	acetylcholine
720575941403677040	MB_CA.MB_PED	acetylcholine
720575941403678320	LO.LOP	acetylcholine
720575941403694960	ME.LO	acetylcholine
720575941403698288	LO.LOP	acetylcholine
720575941403698544	LO.LOP	acetylcholine
720575941403701872	ME	gaba_nitric_oxide
720575941403705712	ME.LO	acetylcholine
720575941403706992	ME	gaba_nitric_oxide
720575941403708272	ME.LO	acetylcholine
720575941403708528	ME.LO	acetylcholine
720575941403795824	ME.LO	acetylcholine
720575941403805552	NO_CONS.ME	acetylcholine
720575941403812976	T2_MESONM	acetylcholine
720575941403818864	HTCT	acetylcholine
720575941403825008	T1_PRONM.T1_MVAC	gaba
720575941403837552	UNASSIGNED.NO_CONS	dopamine
720575941403864432	T1_PRONM	gaba
720575941403907696	T1_PRONM	gaba
720575941403937136	T3_METANM.INTTCT	acetylcholine
720575941403942768	T3_METANM.WTCT	gaba
720575941403959920	T3_METANM.VES	acetylcholine
720575941403979120	MB_CA.MB_PED	acetylcholine
720575941403983472	MB_CA.NO_CONS	acetylcholine
720575941403986032	MB_CA	acetylcholine
720575941404005488	MB_CA.MB_ML	acetylcholine
720575941404041072	LTCT.INTTCT	gaba
720575941404054896	AL	acetylcholine
720575941404079984	CRE.MB_ML	dopamine
720575941404119920	SMP.NO_CONS	dopamine
720575941404184176	SCL.MB_PED	acetylcholine
720575941404247408	ME	glutamate
720575941404249200	AL	acetylcholine
720575941404343408	ME	glutamate
720575941404362352	ME	acetylcholine
720575941404381296	AL	acetylcholine
720575941404390000	FB	acetylcholine
720575941404430448	ME	acetylcholine
720575941404440176	FB	glutamate
720575941404448624	MB_CA	acetylcholine
720575941404452720	WTCT	acetylcholine
720575941404459632	MB_CA	acetylcholine
720575941404468592	ME	glutamate
720575941404474992	ME	glutamate
720575941404478064	ME.LO	acetylcholine
720575941404502896	ME	acetylcholine
720575941404505712	LOP	glutamate
720575941404588912	ME	gaba
720575941404619888	HTCT.INTTCT	acetylcholine
720575941404662896	ME	acetylcholine
720575941404713840	T3_METANM	gaba
720575941404724080	T1_PRONM	acetylcholine
720575941404727920	T2_MESONM.T2_MVAC	gaba
720575941404729712	T2_MESONM	glutamate
720575941404749424	ANM	acetylcholine
