root_id	group	nt_type
720575940604389054	AOTU	ACH
720575940604389344	SLP	ACH
720575940604391904	ME.LO	ACH
720575940604395436	SLP.SMP	ACH
720575940604395622	SMP	GLUT
720575940604396209	SAD	GLUT
720575940604398816	LH	GABA
720575940604401342	LO.PVLP	ACH
720575940604402092	MB_CA.MB_ML	ACH
720575940604403628	AL	ACH
720575940604404425	PB.EB	ACH
720575940604407008	LOP	GLUT
720575940604407072	ME	ACH
720575940604407468	AL.LH	ACH
720575940604411616	LO.LOP	ACH
720575940604412192	ICL.IB	ACH
720575940604412588	AL.PLP	ACH
720575940604412896	LO.LOP	ACH
720575940604413664	LO.LOP	ACH
720575940604414636	AL	ACH
720575940604415148	ME.LO	ACH
720575940604418988	AL.LH	ACH
720575940604418993	SMP	ACH
720575940604420832	ME	GABA
720575940604425644	GNG	ACH
720575940604425696	LOP	GLUT
720575940604426412	LO	ACH
720575940604427180	AVLP	GLUT
720575940604427232	LO.LOP	ACH
720575940604427552	ME	ACH
720575940604431584	AL.MB_CA	ACH
720575940604432864	LO.LOP	ACH
720575940604434092	AVLP	ACH
720575940604435046	SLP.MB_ML	ACH
720575940604435061	ME.LOP	ACH
720575940604435814	ME	GABA
720575940604436720	ME.LOP	ACH
720575940604437094	ME.LO	ACH
720575940604437792	ME	ACH
720575940604438048	ME.LO	ACH
720575940604445868	AVLP	ACH
720575940604447148	SLP	ACH
720575940604447520	ME	ACH
720575940604450732	SLP	GLUT
720575940604452384	ME	GLUT
720575940604453408	ME	ACH
720575940604455340	LOP	GLUT
720575940604456108	LAL	GLUT
720575940604456364	IPS	GLUT
720575940604456876	AVLP	ACH
720575940604457200	LO.LOP	ACH
720575940604458668	FLA.GNG	ACH
720575940604458720	MB_VL.SMP	ACH
720575940604459697	PRW	GABA
720575940604466912	MB_CA.MB_ML	ACH
720575940604467488	ME.LO	ACH
720575940604470240	GNG.ICL	GABA
720575940604470956	GNG	ACH
720575940604471473	SMP	GLUT
720575940604474028	LAL	GABA
720575940604474982	ME.LOP	ACH
720575940604476774	ME	GABA
720575940604477100	SPS	GLUT
720575940604478065	ME.LOP	ACH
720575940604478176	MB_CA.MB_PED	ACH
720575940604479590	SMP.CRE	DA
720575940604479660	SPS	GABA
720575940604480870	ME	GABA
720575940604481760	FB	GLUT
720575940604481964	IPS	GLUT
720575940604483040	MB_CA.MB_VL	ACH
720575940604484454	ME.LO	ACH
720575940604485222	ME	ACH
