cell_type,root_id,root_626,fafb_match,fafb_nblast,manc_match,manc_nblast
DNbe007,720575941550196797,720575941550196797,720575940629502251,0.51,21380,0.42
DNge059,720575941522604979,720575941607119725,720575940615671106,0.46,12455,0.62
AN01A055,720575941446170026,720575941611188554,720575940632556831,0.23,18797,0.74
ANXXX041,720575941687586060,720575941687586060,720575940640515699,0.48,11500,0.57
AN08B012,720575941451006645,720575941491157454,720575940626533634,0.41,13606,0.55
AN17B012,720575941489638094,720575941489638094,720575940630058752,0.44,23695,0.41
DNpe023,720575941551774526,720575941551774526,720575940616604817,0.57,37139,0.3
AN18B002,720575941578497369,720575941578497369,720575940621481450,0.25,10519,0.62
DNge132,720575941565245794,720575941565245794,720575940631982952,0.52,13820,0.53
ANXXX055,720575941585137247,720575941585137247,720575940645122948,0.37,10878,0.53
DNpe043,720575941527759641,720575941475448123,720575940623142426,0.5,16264,0.49
AN05B009,720575941618680533,720575941528979844,720575940623351295,0.51,11387,0.4
DNae010,720575941563218944,720575941563218944,720575940630868281,0.52,13336,0.49
ANXXX055,720575941438634002,720575941438634002,720575940623755312,0.43,11810,0.54
AN13B002,720575941557588964,720575941564155282,720575940621902085,0.44,11272,0.57
DNbe005,720575941612039142,720575941612039142,720575940625558730,0.46,15257,0.55
DNpe031,720575941546602345,720575941546602345,720575940634750871,0.48,14301,0.47
DNp57,720575941487319437,720575941414424977,720575940629170250,0.45,14337,0.65
DNg27,720575941598950556,720575941598950556,720575940619757366,0.43,13061,0.56
AN09B018_d,720575941502736779,720575941502736779,720575940635197291,0.5,11758,0.49
AN23B001,720575941612394058,720575941496116352,NA,0.24,14281,0.57
DNp63,720575941539226866,720575941539226866,720575940625345511,0.28,16075,0.48
AN27X004,720575941633591483,720575941633591483,720575940636436916,0.32,11003,0.31
DNpe002,720575941610917037,720575941610917037,720575940620642940,0.54,12779,0.49
AN17B007,720575941458999711,720575941458999711,720575940624005834,0.44,11061,0.7
DNg22,720575941566132119,720575941566132119,720575940628030440,0.47,14244,0.61
AN19B032,720575941472508256,720575941472508256,720575940633767588,0.37,13889,0.57
DNg99,720575941552726407,720575941552726407,720575940619332944,0.48,11443,0.4
AN14A003,720575941681023421,720575941681023421,720575940616832901,0.57,10411,0.47
ANXXX026,720575941681075389,720575941681075389,720575940630705170,0.53,11002,0.51
AN05B096,720575941634207941,720575941542468956,720575940614595643,0.47,10727,0.54
AN17A013,720575941601114102,720575941601114102,720575940607118275,0.6,11714,0.4
DNg109,720575941613020390,720575941594858198,720575940631545960,0.44,14947,0.55
AN17A013,720575941531432907,720575941531432907,720575940619679471,0.62,10895,0.56
AN07B005,720575941453681203,720575941453681203,720575940620589147,0.55,10687,0.57
ANXXX027,720575941527544708,720575941527544708,720575940619519092,0.4,11175,0.52
AN13B002,720575941518225299,720575941626281354,NA,0.36,14001,0.48
AN08B009,720575941526870628,720575941526870628,720575940653617910,0.43,10641,0.48
DNp101,720575941644587109,720575941569836914,720575940625420986,0.44,53595462076,0.72
DNge107,720575941471808375,720575941471808375,720575940613917359,0.47,10719,0.45
DNge104,720575941509305182,720575941548655496,720575940623037720,0.47,12594,0.5
DNp02,720575941409519022,720575941503507435,720575940619654053,0.68,10331,0.74
AN06B007_b,720575941569349370,720575941569349370,720575940631262252,0.34,153991,0.53
AN17A003,720575941441848411,720575941441848411,720575940627754496,0.57,11088,0.55
DNp45,720575941463843597,720575941463843597,720575940624426680,0.51,16842,0.46
AN05B101,720575941580859893,720575941416830748,720575940636263543,0.49,12460,0.68
AN27X009,720575941563466152,720575941563466152,720575940623302988,0.54,12016,0.52
AN17A003,720575941436244110,720575941651946005,720575940637160937,0.44,10344,0.55
AN17B012,720575941522023607,720575941477534516,720575940629901047,0.44,23730,0.54
DNpe042,720575941531996645,720575941531996645,720575940615092019,0.42,190167,0.45
AN17A012,720575941525922148,720575941525922148,720575940617084673,0.44,10906,0.47
