neuron1	neuron2	score
720575941409225902	720575940621626394	0.570993
720575941628153913	720575940614759149	0.605606
720575941624808074	720575940624810270	0.41325
720575941565099623	720575940635221172	0.403418
720575941519241176	720575940645352814	0.622824
720575941480954019	720575940621554112	0.579615
720575941540466381	720575940628498161	0.582385
720575941447826708	720575940633791599	0.385246
720575941687585036	720575940606663881	0.43511
720575941688158447	720575940630705170	0.411779
720575941559017252	720575940630798378	0.431639
720575941440399445	720575940629015040	0.459048
720575941578384629	720575940621401222	0.636977
720575941603685817	720575940641824200	0.390797
720575941550196797	720575940629502251	0.648778
720575941607119725	720575940615671106	0.593887
720575941611188554	720575940632556831	0.614469
720575941687586060	720575940640515699	0.386602
720575941491157454	720575940626533634	0.504777
720575941489638094	720575940630058752	0.482768
720575941551774526	720575940616604817	0.701529
720575941578497369	720575940621481450	0.415218
720575941565245794	720575940631982952	0.600665
720575941585137247	720575940645122948	0.427658
720575941475448123	720575940623142426	0.65784
720575941528979844	720575940623351295	0.391349
720575941563218944	720575940630868281	0.63176
720575941438634002	720575940623755312	0.438321
720575941564155282	720575940621902085	0.384101
720575941612039142	720575940625558730	0.6109
720575941546602345	720575940634750871	0.583478
720575941414424977	720575940629170250	0.652978
720575941598950556	720575940619757366	0.577572
720575941502736779	720575940635197291	0.423027
720575941539226866	720575940625345511	0.601224
720575941633591483	720575940636436916	0.416766
720575941610917037	720575940620642940	0.637624
720575941458999711	720575940624005834	0.441783
720575941566132119	720575940628030440	0.592478
720575941472508256	720575940633767588	0.406771
720575941552726407	720575940619332944	0.618027
720575941681023421	720575940616832901	0.420169
720575941681075389	720575940630705170	0.416394
720575941542468956	720575940614595643	0.399807
720575941601114102	720575940607118275	0.417134
720575941594858198	720575940631545960	0.608378
720575941531432907	720575940619679471	0.435227
720575941453681203	720575940620589147	0.427688
720575941527544708	720575940619519092	0.4456
720575941526870628	720575940653617910	0.37854
720575941569836914	720575940625420986	0.689885
720575941471808375	720575940613917359	0.607482
720575941548655496	720575940623037720	0.457377
720575941503507435	720575940619654053	0.603193
720575941569349370	720575940631262252	0.381736
720575941441848411	720575940627754496	0.414359
720575941463843597	720575940624426680	0.631686
720575941416830748	720575940636263543	0.523892
720575941563466152	720575940623302988	0.573248
720575941651946005	720575940637160937	0.411951
720575941477534516	720575940629901047	0.46952
720575941531996645	720575940615092019	0.668374
720575941525922148	720575940617084673	0.427163
720575941599034560	720575940627368723	0.65083
720575941628267321	720575940625287998	0.389337
720575941569801586	720575940619038493	0.662433
720575941502734475	720575940632422219	0.621209
720575941542458204	720575940622262493	0.418347
720575941484394125	720575940612950642	0.472836
720575941640775455	720575940631483695	0.688673
720575941572468126	720575940635891546	0.377891
720575941733034283	720575940616647483	0.599539
720575941511281618	720575940612036837	0.608343
720575941611937709	720575940630121503	0.468192
720575941732764971	720575940626569554	0.439283
720575941633520059	720575940627788032	0.417004
720575941483850749	720575940613622501	0.434862
720575941552603966	720575940643487342	0.585208
720575941633124549	720575940610605614	0.633065
720575941507242309	720575940634525792	0.437711
720575941440001343	720575940617871394	0.422926
720575941470861120	720575940618422875	0.401555
720575941687586316	720575940654227105	0.401066
720575941433051406	720575940632834911	0.394509
720575941633138629	720575940604865312	0.444168
720575941560503155	720575940629586417	0.605268
720575941441886811	720575940621493068	0.465352
720575941535258802	720575940625184782	0.632146
720575941404711792	720575940614236200	0.622499
720575941471297911	720575940623164685	0.580175
720575941531488971	720575940628627867	0.6353
720575941546634428	720575940610472146	0.695589
720575941507249221	720575940625863728	0.599778
720575941491012809	720575940616026939	0.613147
720575941476477492	720575940651341558	0.621143
720575941535861482	720575940614418794	0.432319
720575941579788533	720575940628422139	0.377095
720575941533250738	720575940632223457	0.39555
720575941611944668	720575940612102769	0.448569
